exon_id,n_samples,n_cpgs_tested,n_cpgs_selected,cv_method,rf_r2_cv,rf_r2_std,enet_r2_cv,enet_r2_std,enet_alpha,enet_l1_ratio,n_nonzero_coefs,best_r2_cv,best_model,species
FUN_043518_206307,39,5539274,100,5-fold,-0.16930085641701018,1.3092031979011016,0.15033896013257947,0.9284821496453493,28.056718712952943,0.95,68,0.15033896013257947,ElasticNet,Apul
FUN_032709_149808,39,5539274,100,5-fold,0.6677113006317471,0.1023696307974465,0.8651404531828997,0.027784597090605764,4.6881443200799895,0.7,100,0.8651404531828997,ElasticNet,Apul
FUN_043604_207111,39,5539274,100,5-fold,0.4786416924060634,0.20395635426699793,0.4021177959325864,0.3532493461980129,3.5311015872175378,0.9,90,0.4786416924060634,RF,Apul
FUN_013555_64834,39,5539274,100,5-fold,0.6212983866656168,0.08416488700406874,0.8914857632671147,0.037458950907450814,2.0099346827522275,0.9,92,0.8914857632671147,ElasticNet,Apul
FUN_025365_114918,39,5539274,100,5-fold,-2.453277434324165,5.859569441414698,-2.9155198641942968,6.70814085392167,17.15335621056754,0.5,98,-2.453277434324165,RF,Apul
FUN_035154_161831,39,5539274,100,5-fold,-5.002143682660547,9.932586261576024,-3.870829850894382,8.228508280576738,83.75616541063062,0.99,44,-3.870829850894382,ElasticNet,Apul
FUN_011962_56547,39,5539274,100,5-fold,0.2805750861669572,0.24729357208069738,0.41225261237785193,0.23343046926995398,154.8219546994159,0.99,26,0.41225261237785193,ElasticNet,Apul
FUN_041774_196057,39,5539274,100,5-fold,0.5954819177228361,0.14400947801423994,0.7576546878919042,0.1522988324146603,2.7000763652320536,0.7,97,0.7576546878919042,ElasticNet,Apul
FUN_013651_65413,39,5539274,100,5-fold,-5.408949402831206,5.69902404203988,-1.0442805237727923,2.150328515247637,5.322803412694716,0.95,81,-1.0442805237727923,ElasticNet,Apul
FUN_024332_109777,39,5539274,100,5-fold,0.31107739946761387,0.6486909885489482,0.5798549364466328,0.26373233825718484,7.939377587948144,0.9,93,0.5798549364466328,ElasticNet,Apul
