species,gene_id,n_samples,n_unique_exons,n_shifts,modal_exon,modal_fraction,shift_type
Acropora pulchra,FUN_000376,40,8,24,1716,0.525,Robust shift
Acropora pulchra,FUN_000377,27,1,0,1728,1,No shift
Acropora pulchra,FUN_000378,40,5,27,1739,0.5,Robust shift
Acropora pulchra,FUN_000379,7,3,5,1744,0.5714285714285714,Robust shift
Acropora pulchra,FUN_000380,12,3,8,1746,0.4166666666666667,Robust shift
Acropora pulchra,FUN_000382,29,2,14,1749,0.5172413793103449,Robust shift
Acropora pulchra,FUN_000383,40,2,19,1751,0.7,Minor shift
Acropora pulchra,FUN_000384,40,10,34,1761,0.25,Robust shift
Acropora pulchra,FUN_000386,4,1,0,1772,1,No shift
Acropora pulchra,FUN_000387,40,9,28,1773,0.375,Robust shift
Acropora pulchra,FUN_000388,35,2,8,1800,0.8571428571428571,Minor shift
Acropora pulchra,FUN_000392,40,5,18,1805,0.75,Minor shift
Acropora pulchra,FUN_000393,40,3,13,1812,0.825,Minor shift
Acropora pulchra,FUN_000394,40,2,15,1818,0.725,Minor shift
Acropora pulchra,FUN_000395,40,3,20,1820,0.625,Minor shift
Acropora pulchra,FUN_000396,40,2,10,1824,0.875,Minor shift
Acropora pulchra,FUN_000397,39,3,10,1838,0.8461538461538461,Minor shift
Acropora pulchra,FUN_000398,40,2,18,1842,0.675,Minor shift
Acropora pulchra,FUN_000399,40,5,28,1847,0.525,Robust shift
Acropora pulchra,FUN_000400,40,2,5,1851,0.925,Rare shift
Acropora pulchra,FUN_000401,40,3,10,1854,0.875,Minor shift
Acropora pulchra,FUN_000402,40,2,8,1856,0.9,Rare shift
Acropora pulchra,FUN_000403,40,2,2,1857,0.975,Rare shift
Acropora pulchra,FUN_000404,40,13,34,1888,0.375,Robust shift
Acropora pulchra,FUN_000407,40,9,27,1912,0.3,Robust shift
Acropora pulchra,FUN_000408,40,3,8,1932,0.875,Minor shift
Acropora pulchra,FUN_000409,40,4,22,1936,0.625,Minor shift
Acropora pulchra,FUN_000410,40,4,17,1940,0.475,Robust shift
Acropora pulchra,FUN_000411,40,3,16,1946,0.75,Minor shift
Acropora pulchra,FUN_000413,40,1,0,1949,1,No shift
Acropora pulchra,FUN_000414,13,4,7,1951,0.6153846153846154,Minor shift
Acropora pulchra,FUN_000415,21,4,8,1954,0.8095238095238095,Minor shift
Acropora pulchra,FUN_000416,17,4,11,1960,0.5882352941176471,Robust shift
Acropora pulchra,FUN_000417,26,4,10,1962,0.7307692307692307,Minor shift
Acropora pulchra,FUN_000418,40,5,20,1971,0.725,Minor shift
Acropora pulchra,FUN_000419,40,5,13,1972,0.825,Minor shift
Acropora pulchra,FUN_000420,24,3,12,1985,0.6666666666666666,Minor shift
Acropora pulchra,FUN_000421,20,2,8,1987,0.7,Minor shift
Acropora pulchra,FUN_000423,35,3,14,1992,0.7714285714285715,Minor shift
Acropora pulchra,FUN_000424,33,3,24,1995,0.45454545454545453,Robust shift
Acropora pulchra,FUN_000425,20,2,6,1997,0.8,Minor shift
Acropora pulchra,FUN_000427,37,3,10,2003,0.8378378378378378,Minor shift
Acropora pulchra,FUN_000428,32,2,4,2006,0.9375,Rare shift
Acropora pulchra,FUN_000429,25,3,12,2010,0.72,Minor shift
Acropora pulchra,FUN_000430,28,3,7,2014,0.8214285714285714,Minor shift
Acropora pulchra,FUN_000431,21,2,2,2017,0.9523809523809523,Rare shift
Acropora pulchra,FUN_000432,38,3,12,2020,0.6842105263157895,Minor shift
Acropora pulchra,FUN_000433,17,7,12,2028,0.35294117647058826,Robust shift
Acropora pulchra,FUN_000437,40,7,28,2033,0.425,Robust shift
Acropora pulchra,FUN_000438,18,2,2,2053,0.9444444444444444,Rare shift
Acropora pulchra,FUN_000439,39,7,28,2062,0.38461538461538464,Robust shift
Acropora pulchra,FUN_000440,40,7,25,2069,0.45,Robust shift
Acropora pulchra,FUN_000441,40,5,34,2137,0.35,Robust shift
Acropora pulchra,FUN_000442,35,5,23,2150,0.45714285714285713,Robust shift
