species,gene_id,timepoints_observed,consistent_exon_per_tp,different_exons_across_tp
Acropora pulchra,FUN_017684,2,TRUE,TRUE
Acropora pulchra,FUN_017688,2,TRUE,TRUE
Acropora pulchra,FUN_017689,4,TRUE,TRUE
Acropora pulchra,FUN_017714,2,TRUE,TRUE
Acropora pulchra,FUN_017717,2,TRUE,TRUE
Acropora pulchra,FUN_017747,3,TRUE,TRUE
Acropora pulchra,FUN_017962,3,TRUE,TRUE
Acropora pulchra,FUN_017968,4,TRUE,TRUE
Acropora pulchra,FUN_018039,4,TRUE,TRUE
Acropora pulchra,FUN_018175,3,TRUE,TRUE
Acropora pulchra,FUN_018189,4,TRUE,TRUE
Acropora pulchra,FUN_018224,3,TRUE,TRUE
Acropora pulchra,FUN_018259,3,TRUE,TRUE
Acropora pulchra,FUN_018295,4,TRUE,TRUE
Acropora pulchra,FUN_018321,2,TRUE,TRUE
Acropora pulchra,FUN_018329,2,TRUE,TRUE
Acropora pulchra,FUN_018406,2,TRUE,TRUE
Acropora pulchra,FUN_018472,3,TRUE,TRUE
Acropora pulchra,FUN_018602,2,TRUE,TRUE
Acropora pulchra,FUN_018603,2,TRUE,TRUE
Acropora pulchra,FUN_018609,3,TRUE,TRUE
Acropora pulchra,FUN_018636,2,TRUE,TRUE
Acropora pulchra,FUN_018643,2,TRUE,TRUE
Acropora pulchra,FUN_018647,2,TRUE,TRUE
Acropora pulchra,FUN_018654,2,TRUE,TRUE
Acropora pulchra,FUN_018672,3,TRUE,TRUE
Acropora pulchra,FUN_018759,4,TRUE,TRUE
Acropora pulchra,FUN_018801,3,TRUE,TRUE
Acropora pulchra,FUN_018809,2,TRUE,TRUE
Acropora pulchra,FUN_018814,4,TRUE,TRUE
Acropora pulchra,FUN_018868,2,TRUE,TRUE
Acropora pulchra,FUN_018895,2,TRUE,TRUE
Acropora pulchra,FUN_018944,2,TRUE,TRUE
Acropora pulchra,FUN_018985,3,TRUE,TRUE
Acropora pulchra,FUN_019006,4,TRUE,TRUE
Acropora pulchra,FUN_019046,3,TRUE,TRUE
Acropora pulchra,FUN_019063,3,TRUE,TRUE
Acropora pulchra,FUN_019072,2,TRUE,TRUE
Acropora pulchra,FUN_019077,2,TRUE,TRUE
Acropora pulchra,FUN_019078,3,TRUE,TRUE
Acropora pulchra,FUN_019084,3,TRUE,TRUE
Acropora pulchra,FUN_019088,2,TRUE,TRUE
Acropora pulchra,FUN_019214,2,TRUE,TRUE
Acropora pulchra,FUN_019263,4,TRUE,TRUE
Acropora pulchra,FUN_019310,3,TRUE,TRUE
