gene_id,regulation,is_biomin
Peve_00024517,lncRNA_only,False
Peve_00030691,lncRNA_only,False
Peve_00036294,lncRNA_only,False
Peve_00027485,lncRNA_only,False
Peve_00011069,lncRNA_only,False
Peve_00001696,lncRNA_only,False
Peve_00021944,lncRNA_only,False
Peve_00007478,lncRNA_only,False
Peve_00039678,lncRNA_only,False
Peve_00002922,lncRNA_only,False
Peve_00043916,lncRNA_only,False
Peve_00021586,lncRNA_only,False
Peve_00020791,lncRNA_only,False
Peve_00002212,lncRNA_only,False
Peve_00019718,lncRNA_only,False
Peve_00030005,lncRNA_only,False
Peve_00011231,lncRNA_only,False
Peve_00000637,lncRNA_only,False
Peve_00019247,lncRNA_only,False
Peve_00038800,lncRNA_only,False
Peve_00021499,lncRNA_only,False
Peve_00032355,lncRNA_only,False
Peve_00030379,lncRNA_only,False
Peve_00038815,lncRNA_only,True
Peve_00028053,lncRNA_only,False
Peve_00015748,lncRNA_only,False
Peve_00004937,lncRNA_only,False
Peve_00003591,lncRNA_only,False
Peve_00016987,lncRNA_only,False
Peve_00017761,lncRNA_only,False
Peve_00003300,lncRNA_only,False
Peve_00010058,lncRNA_only,False
Peve_00036427,lncRNA_only,False
Peve_00004527,lncRNA_only,False
Peve_00036342,lncRNA_only,False
Peve_00032562,lncRNA_only,False
Peve_00014951,lncRNA_only,False
Peve_00022083,lncRNA_only,False
Peve_00020818,lncRNA_only,False
Peve_00018971,lncRNA_only,False
Peve_00015107,lncRNA_only,False
Peve_00031449,lncRNA_only,False
Peve_00043162,lncRNA_only,False
Peve_00014628,lncRNA_only,False
Peve_00004441,lncRNA_only,False
Peve_00003339,lncRNA_only,False
Peve_00009958,lncRNA_only,False
Peve_00040600,lncRNA_only,False
Peve_00028340,lncRNA_only,False
Peve_00037374,lncRNA_only,False
Peve_00004871,lncRNA_only,False
Peve_00013203,lncRNA_only,False
Peve_00020132,lncRNA_only,False
Peve_00030746,lncRNA_only,False
Peve_00001196,lncRNA_only,False
Peve_00015310,lncRNA_only,False
Peve_00019456,lncRNA_only,False
Peve_00002245,lncRNA_only,False
Peve_00033776,lncRNA_only,False
Peve_00008951,lncRNA_only,False
Peve_00041807,lncRNA_only,False
Peve_00027469,lncRNA_only,False
Peve_00000995,lncRNA_only,False
Peve_00035224,lncRNA_only,False
Peve_00013262,lncRNA_only,False
Peve_00043152,lncRNA_only,False
Peve_00040779,lncRNA_only,False
Peve_00031928,lncRNA_only,False
Peve_00015912,lncRNA_only,False
Peve_00036910,lncRNA_only,False
Peve_00018229,lncRNA_only,False
Peve_00027350,lncRNA_only,False
Peve_00004544,lncRNA_only,False
Peve_00026511,lncRNA_only,False
Peve_00022185,lncRNA_only,False
