feature,id,pval,qval
exon,103668,1.6274136038774145e-8,9.245607128453892e-6
exon,103543,1.646486436079897e-8,9.299737184935449e-6
exon,206275,1.6428376881094664e-8,9.299737184935449e-6
exon,110084,1.6593449614354938e-8,9.345277357374741e-6
exon,141030,1.6776404931917455e-8,9.421087523496148e-6
exon,152059,1.6825445259271987e-8,9.421475761502231e-6
exon,103657,1.72503440420968e-8,9.631722181716765e-6
exon,146114,1.7382317807346226e-8,9.677679934887758e-6
exon,201211,1.7478215208477366e-8,9.70334737431548e-6
exon,176047,1.785369829754302e-8,9.883645071171657e-6
exon,5685,1.8108842758657318e-8,9.900203579565054e-6
exon,39733,1.8032585202831797e-8,9.900203579565054e-6
exon,52126,1.8188443640099194e-8,9.900203579565054e-6
exon,159859,1.8183796246518114e-8,9.900203579565054e-6
exon,179423,1.817411543481029e-8,9.900203579565054e-6
exon,188626,1.8029764126126224e-8,9.900203579565054e-6
exon,68481,1.8367875664893063e-8,9.970021514105074e-6
exon,176645,1.8791245670612966e-8,1.0171492489884236e-5
exon,80018,1.892247492030208e-8,1.0214152778032532e-5
