exon_id,n_samples,n_cpgs_nearby,n_cpgs_tested,n_cpgs_selected,cv_method,rf_r2_cv,rf_r2_std,enet_r2_cv,enet_r2_std,enet_alpha,enet_l1_ratio,n_nonzero_coefs,best_r2_cv,best_model,species
gene-Pocillopora_meandrina_HIv1___RNAseq.g26168.t1_118911,32,3,3,3,5-fold,-2.6716888927083664,4.387359333412832,-4.0142180576896935,7.664353614194086,62.979553895258555,0.99,3,-2.6716888927083664,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g11214.t1_128725,32,5,5,5,5-fold,-0.30269623331882267,0.5105117678737979,-0.18081152313925197,0.16375021517740565,711.1954293292548,0.1,0,-0.18081152313925197,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g10336.t1_175480,32,3,3,3,5-fold,-1.9513463039480101,2.8428718191498494,-1.321127301512235,2.2789062052937554,344.64888499809746,0.1,0,-1.321127301512235,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g24062.t1_67088,32,25,23,23,5-fold,-0.3299332665589192,0.21189953777465018,-0.3613698141090042,0.5296936509720087,914.1767740296668,0.1,0,-0.3299332665589192,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g29476.t1_137065,32,18,17,17,5-fold,-1.1726511491581109,2.1206186046783624,-0.8192213149253555,1.5802260542822015,7.779105550780728,0.99,13,-0.8192213149253555,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g15574.t1_44847,32,21,20,20,5-fold,-0.9559145449992613,0.8435289648897494,-0.6968051181531136,0.7289728131962161,2.4184774088386183,0.1,20,-0.6968051181531136,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g19717.t1_22169,32,21,20,20,5-fold,-0.8263975555744396,0.9638111238711828,-0.7946278392552306,0.9835413394320474,1553.513317585787,0.1,0,-0.7946278392552306,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g2294.t1_88345,32,2,2,2,5-fold,-0.8485750975420153,1.2062169132903051,-0.6229660125337797,1.0906102241391398,2.2191442526405547,0.1,2,-0.6229660125337797,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.16312_t_109196,32,96,89,89,5-fold,-0.13787277425902353,0.3132591183139878,-0.21640500223993855,0.33271887960721075,16.802873525121843,0.1,88,-0.13787277425902353,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g20252.t1_26069,32,8,7,7,5-fold,-0.5652525000931257,0.8312130209005797,-0.3470970534297094,0.33329830856005266,101.19440183776432,0.99,4,-0.3470970534297094,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g2524.t1_89840,32,95,85,85,5-fold,-0.4176742670084851,0.29481870717501146,-0.17027434485365425,0.14321665542401402,2238.2765708201973,0.1,0,-0.17027434485365425,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g27511.t1_72031,32,3,3,3,5-fold,-0.6337021913744219,0.3737053402769203,-0.3002077280246552,0.22994795550768202,1142.3321138887313,0.1,0,-0.3002077280246552,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g10627.t1_150977,32,8,7,7,5-fold,-0.6993120561582078,0.8691452087533663,-0.6697071884093457,0.866528527710657,1350.3475894090775,0.1,0,-0.6697071884093457,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g15767.t1_46472,32,21,12,12,5-fold,-11.996246240457207,22.569769794969925,-10.275037017675329,19.6791547679631,5.501246099221276,0.1,12,-10.275037017675329,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g22425.t1_11059,32,6,6,6,5-fold,-1.4482247206698022,2.2079143134527754,-1.251722951232223,2.208101075594366,19.734552296326974,0.95,6,-1.251722951232223,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g22974.t2_58667,32,2,2,2,5-fold,-0.33478795432070335,0.2595194468887916,-0.13097248053100513,0.13050292500307417,413.99888531956276,0.1,0,-0.13097248053100513,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g25484.t1_178735,32,14,12,12,5-fold,-2.0084959370984583,3.666323356419619,-2.4394855996538056,4.494517923157861,3.200077784228857,0.99,10,-2.0084959370984583,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g11242.t1_128889,32,13,12,12,5-fold,-1.3696838477031026,1.7983275162060508,-4.227682504448646,5.9341727482760245,0.6934308261381031,0.9,12,-1.3696838477031026,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g19087.t1_18759,32,4,4,4,5-fold,-0.8105356662027775,0.8705882952372166,-0.9150453085398119,0.9111908267796786,0.19506420636789648,0.99,4,-0.8105356662027775,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g4192.t1_123178,32,13,12,12,5-fold,-0.24705884295879876,0.2969124535618199,-0.7164277738352818,1.0300007963068416,1036.4626500534735,0.1,0,-0.24705884295879876,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g28583.t1_141622,32,5,5,5,5-fold,-0.25571434928124687,0.5671686406869092,-0.5208688808643824,0.6572627918659842,9.967749966491878,0.9,5,-0.25571434928124687,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g19260.t1_19784,32,5,5,5,5-fold,-0.3814805823786143,0.7044307833541795,-0.5870151648523199,0.5335707780338242,0.43034441680613594,0.7,5,-0.3814805823786143,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g8462.t1_102709,32,11,11,11,5-fold,-0.024397692005116565,0.26932539422450674,-0.016186076953521256,0.1052464734802455,28.269794874815982,0.99,7,-0.016186076953521256,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g19344.t1_20227,32,2,2,2,5-fold,-0.42989937240193504,0.2381131697073831,-0.306723891331461,0.2558578614635406,76.06878530659813,0.99,1,-0.306723891331461,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g5378.t1_78399,32,3,2,2,5-fold,-0.9203841013762861,1.6743201507200938,-0.9909266592537526,1.830323110355449,0.5146752209332608,0.5,2,-0.9203841013762861,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g23859.t1_65506,32,2,2,2,5-fold,-1.506038421218972,2.6496909435968115,-1.7064178145202855,2.946727292478285,8.893915269736747,0.99,2,-1.506038421218972,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g18773.t1_16517,32,13,13,13,5-fold,-0.23195007203456405,0.27065277797215836,-0.0968400563212167,0.05453177620301847,24.153741810334907,0.1,13,-0.0968400563212167,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g22468.t1_11486,32,7,7,7,5-fold,-0.5287993790045572,0.5728256341286672,-0.31031418209779205,0.41447399377244964,783.3871758350917,0.1,0,-0.31031418209779205,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g28361.t1_139980,32,37,30,30,5-fold,-1.0149978065774838,0.46452711877492264,-0.542246951383569,0.4959450550453677,1138.2905123010062,0.1,0,-0.542246951383569,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g12297.t1_168303,32,8,8,8,5-fold,-1.6723024454515187,2.5407683080638943,-0.6727250378873959,0.9624847060670085,1179.2290307514388,0.1,0,-0.6727250378873959,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g11666.t1_131561,32,4,4,4,5-fold,-0.30315520114815475,0.2914128626225858,-0.04215897500711072,0.13294405210367316,9.258685900986983,0.99,4,-0.04215897500711072,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g20271.t1_26196,32,9,9,9,5-fold,-2.8524211908536183,5.116596132335333,-2.983777273596914,5.4045709178224275,1.0386266983530834,0.1,9,-2.8524211908536183,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g24517.t1_54421,32,6,6,6,5-fold,-0.22156703183094537,0.2955126594421655,-0.24726770724336275,0.17642214792508512,0.8390971170367617,0.95,6,-0.22156703183094537,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g21368.t1_4176,32,3,2,2,5-fold,-0.7140729175661784,0.389736334294133,-0.15107680235707543,0.10492955666975329,498.3222397774277,0.1,0,-0.15107680235707543,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g13581.t1_98014,32,7,7,7,5-fold,-0.23689483679464604,0.4009598149230768,-0.2532851444055999,0.23970003801868212,1.1497414615981705,0.5,7,-0.23689483679464604,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g24560.t1_54737,32,145,143,100,5-fold,-0.07303160043520004,0.2745010250334072,-1.1024405589343873,1.5301472537744052,0.9404326191476519,0.5,99,-0.07303160043520004,RF,Ptua
